Predictor,Outcome,Test,Groups used,N,Statistic,Effect size,Effect size type,p-value,Significance,q-value (BH-FDR),FDR significant
Specialization,GAD7_Category,Chi-square,18,99,82.3533,0.5266,Cramer's V,0.0035,**,0.0964,No
Designation,Intent_Leave_Total,Kruskal-Wallis,8,95,20.838,0.1591,epsilon squared,0.004,**,0.0964,No
Designation,Peer_Support_Total,Kruskal-Wallis,8,95,19.6034,0.1449,epsilon squared,0.0065,**,0.1007,No
Designation,Org_Support_Total,Kruskal-Wallis,8,95,18.6966,0.1344,epsilon squared,0.0092,**,0.1007,No
Specialization,Org_Support_Total,Kruskal-Wallis,12,93,24.1724,0.1626,epsilon squared,0.012,*,0.1007,No
Designation,Performance_Impact_Total,Kruskal-Wallis,8,95,17.8651,0.1249,epsilon squared,0.0126,*,0.1007,No
Specialization,Resource_Need_Total,Kruskal-Wallis,12,93,20.4368,0.1165,epsilon squared,0.0397,*,0.2283,No
Designation,GAD7_Total,Kruskal-Wallis,8,95,14.2103,0.0829,epsilon squared,0.0476,*,0.2283,No
Gender,Org_Support_Total,Mann-Whitney U,2,99,1496.0,0.1914,rank-biserial approx r,0.0554,,0.2283,No
Designation,Professional_Growth_Total,Kruskal-Wallis,8,95,13.7593,0.0777,epsilon squared,0.0556,,0.2283,No
Specialization,SV_Emotional_Total,Kruskal-Wallis,12,93,18.7412,0.0956,epsilon squared,0.0659,,0.2283,No
Designation,SV_Emotional_Total,Kruskal-Wallis,8,95,13.2602,0.072,epsilon squared,0.066,,0.2283,No
Specialization,PHQ9_Total,Kruskal-Wallis,12,93,18.5656,0.0934,epsilon squared,0.0694,,0.2283,No
Specialization,Peer_Support_Total,Kruskal-Wallis,12,93,18.4167,0.0916,epsilon squared,0.0724,,0.2283,No
Specialization,Intent_Leave_Total,Kruskal-Wallis,12,93,18.3868,0.0912,epsilon squared,0.073,,0.2283,No
Specialization,Work_Withdrawal_Total,Kruskal-Wallis,12,93,18.2439,0.0894,epsilon squared,0.0761,,0.2283,No
Designation,Work_Withdrawal_Total,Kruskal-Wallis,8,95,12.1264,0.0589,epsilon squared,0.0965,,0.2724,No
Designation,Supervisor_Support_Total,Kruskal-Wallis,8,95,11.8917,0.0562,epsilon squared,0.1042,,0.2778,No
Specialization,PHQ9_Category,Chi-square,18,99,63.5175,0.4625,Cramer's V,0.1121,,0.2833,No
Specialization,Burnout_Total,Kruskal-Wallis,12,93,16.5467,0.0685,epsilon squared,0.122,,0.2928,No
Specialization,GAD7_ModeratePlus,Chi-square,18,99,23.6619,0.4889,Cramer's V,0.1289,,0.2947,No
Designation,Resource_Need_Total,Kruskal-Wallis,8,95,10.9095,0.0449,epsilon squared,0.1426,,0.3112,No
Designation,Burnout_Total,Kruskal-Wallis,8,95,10.6953,0.0425,epsilon squared,0.1525,,0.3182,No
