Variable 1,Variable 2,N,Pearson r,Pearson p,Spearman rho,Spearman p,Effect size,Significance,Pearson q (BH-FDR),Spearman q (BH-FDR),Pearson FDR significant
Intent_Leave_Total,Work_Withdrawal_Total,99,0.7713,0.0,0.7506,0.0,Large,***,0.0,0.0,Yes
PHQ9_Total,GAD7_Total,99,0.7586,0.0,0.763,0.0,Large,***,0.0,0.0,Yes
SV_Emotional_Total,Performance_Impact_Total,99,0.7273,0.0,0.7521,0.0,Large,***,0.0,0.0,Yes
Performance_Impact_Total,Work_Withdrawal_Total,99,0.7027,0.0,0.7066,0.0,Large,***,0.0,0.0,Yes
Performance_Impact_Total,Intent_Leave_Total,99,0.6384,0.0,0.6585,0.0,Large,***,0.0,0.0,Yes
SV_Emotional_Total,Resource_Need_Total,99,0.6378,0.0,0.6181,0.0,Large,***,0.0,0.0,Yes
GAD7_Total,SV_Emotional_Total,99,0.6093,0.0,0.6098,0.0,Large,***,0.0,0.0,Yes
SV_Emotional_Total,Intent_Leave_Total,99,0.5915,0.0,0.5834,0.0,Large,***,0.0,0.0,Yes
SV_Emotional_Total,Work_Withdrawal_Total,99,0.5828,0.0,0.5955,0.0,Large,***,0.0,0.0,Yes
Performance_Impact_Total,Burnout_Total,99,0.5641,0.0,0.5338,0.0,Large,***,0.0,0.0,Yes
GAD7_Total,Performance_Impact_Total,99,0.5569,0.0,0.5196,0.0,Large,***,0.0,0.0,Yes
Work_Withdrawal_Total,Resource_Need_Total,99,0.5552,0.0,0.5102,0.0,Large,***,0.0,0.0,Yes
Peer_Support_Total,Performance_Impact_Total,99,-0.5251,0.0,-0.5196,0.0,Large,***,0.0,0.0,Yes
SV_Emotional_Total,Burnout_Total,99,0.5196,0.0,0.5031,0.0,Large,***,0.0,0.0,Yes
Performance_Impact_Total,Resource_Need_Total,99,0.5175,0.0,0.5029,0.0,Large,***,0.0,0.0,Yes
PHQ9_Total,SV_Emotional_Total,99,0.5122,0.0,0.5515,0.0,Large,***,0.0,0.0,Yes
Supervisor_Support_Total,Professional_Growth_Total,99,0.5093,0.0,0.4839,0.0,Large,***,0.0,0.0,Yes
PHQ9_Total,Performance_Impact_Total,99,0.5085,0.0,0.507,0.0,Large,***,0.0,0.0,Yes
Intent_Leave_Total,Resource_Need_Total,99,0.5029,0.0,0.464,0.0,Large,***,0.0,0.0,Yes
GAD7_Total,Burnout_Total,99,0.4991,0.0,0.4797,0.0,Moderate,***,0.0,0.0,Yes
PHQ9_Total,Work_Withdrawal_Total,99,0.4871,0.0,0.4162,0.0,Moderate,***,0.0,0.0,Yes
Intent_Leave_Total,Burnout_Total,99,0.4833,0.0,0.4453,0.0,Moderate,***,0.0,0.0,Yes
GAD7_Total,Resource_Need_Total,99,0.479,0.0,0.4163,0.0,Moderate,***,0.0,0.0,Yes
PHQ9_Total,Resource_Need_Total,99,0.4745,0.0,0.452,0.0,Moderate,***,0.0,0.0,Yes
Work_Withdrawal_Total,Burnout_Total,99,0.4607,0.0,0.4513,0.0,Moderate,***,0.0,0.0,Yes
GAD7_Total,Work_Withdrawal_Total,99,0.4441,0.0,0.3654,0.0002,Moderate,***,0.0,0.0005,Yes
GAD7_Total,Intent_Leave_Total,99,0.4411,0.0,0.3548,0.0003,Moderate,***,0.0,0.0007,Yes
Resource_Need_Total,Burnout_Total,99,0.4348,0.0,0.3729,0.0001,Moderate,***,0.0,0.0003,Yes
Supervisor_Support_Total,Intent_Leave_Total,99,-0.4251,0.0,-0.3873,0.0001,Moderate,***,0.0,0.0003,Yes
PHQ9_Total,Burnout_Total,99,0.3955,0.0001,0.4008,0.0,Moderate,***,0.0003,0.0,Yes
SV_Emotional_Total,Peer_Support_Total,99,-0.3933,0.0001,-0.4073,0.0,Moderate,***,0.0003,0.0,Yes
Peer_Support_Total,Work_Withdrawal_Total,99,-0.3707,0.0002,-0.4044,0.0,Moderate,***,0.0005,0.0,Yes
Professional_Growth_Total,Resource_Need_Total,99,0.3657,0.0002,0.2009,0.0461,Moderate,***,0.0005,0.0782,Yes
Peer_Support_Total,Intent_Leave_Total,99,-0.342,0.0005,-0.3292,0.0009,Moderate,***,0.0011,0.0021,Yes
Age,Burnout_Total,99,-0.3371,0.0006,-0.3002,0.0025,Moderate,***,0.0013,0.0053,Yes
Peer_Support_Total,Supervisor_Support_Total,99,0.3224,0.0011,0.3735,0.0001,Moderate,**,0.0024,0.0003,Yes
SV_Emotional_Total,Professional_Growth_Total,99,0.3156,0.0015,0.2419,0.0159,Moderate,**,0.0032,0.0302,Yes
Peer_Support_Total,Burnout_Total,99,-0.3049,0.0022,-0.3163,0.0014,Moderate,**,0.0045,0.0031,Yes
Org_Support_Total,Professional_Growth_Total,99,0.2998,0.0026,0.222,0.0272,Small,**,0.0052,0.0505,Yes
PHQ9_Total,Intent_Leave_Total,99,0.2935,0.0032,0.2946,0.0031,Small,**,0.0062,0.0064,Yes
Supervisor_Support_Total,Org_Support_Total,99,0.277,0.0055,0.1827,0.0704,Small,**,0.0105,0.1168,Yes
Supervisor_Support_Total,Burnout_Total,99,-0.2622,0.0087,-0.2207,0.0281,Small,**,0.0162,0.051,Yes
Supervisor_Support_Total,Work_Withdrawal_Total,99,-0.2488,0.013,-0.3101,0.0018,Small,*,0.0236,0.0039,Yes
Supervisor_Support_Total,Performance_Impact_Total,99,-0.2222,0.0271,-0.2494,0.0128,Small,*,0.048,0.0255,Yes
Peer_Support_Total,Professional_Growth_Total,99,0.202,0.045,0.1684,0.0956,Small,*,0.078,0.1491,No
GAD7_Total,Peer_Support_Total,99,-0.1842,0.068,-0.1212,0.232,Small,,0.1153,0.3113,No
