Section,Insight,Evidence from cleaned data,Interpretation / reporting note
Sample profile,The cleaned dataset contains 99 respondent records ready for statistical analysis.,"N=99; age mean=29.9 years, SD=4.2; female=51.5%, male=48.5%.",Use the cleaned analysis-ready dataset for all reported statistics.
Sample profile,The largest respondent groups are concentrated in a few designations.,Senior Resident: 24; Post Graduate: 22; Junior Resident: 15,"When comparing groups, interpret small designation groups cautiously."
Mental health screening,Moderate-or-higher depression/anxiety symptom burden is present in a minority of responses.,PHQ-9 >=10: 13.1%; GAD-7 >=10: 12.1%.,"These are screening thresholds, not diagnoses; report as symptom burden indicators."
Scale summary,Average second victim emotional impact score is 2.75.,Mean=2.75; median=2.78; IQR=1.19.,Most non-PHQ/GAD scales are 1-5 averages; higher values reflect more of the named construct.
Scale summary,Average need for support resources score is 3.36.,Mean=3.36; median=3.29; IQR=1.14.,Most non-PHQ/GAD scales are 1-5 averages; higher values reflect more of the named construct.
Scale summary,Average peer support score is 3.88.,Mean=3.88; median=4.00; IQR=0.75.,Most non-PHQ/GAD scales are 1-5 averages; higher values reflect more of the named construct.
Scale summary,Average supervisor support score is 3.90.,Mean=3.90; median=4.00; IQR=0.75.,Most non-PHQ/GAD scales are 1-5 averages; higher values reflect more of the named construct.
Scale summary,Average organisational support score is 3.15.,Mean=3.15; median=3.00; IQR=1.17.,Most non-PHQ/GAD scales are 1-5 averages; higher values reflect more of the named construct.
Scale summary,Average burnout score is 2.85.,Mean=2.85; median=2.81; IQR=0.69.,Most non-PHQ/GAD scales are 1-5 averages; higher values reflect more of the named construct.
Scale summary,Average intention to leave score is 1.82.,Mean=1.82; median=1.75; IQR=1.00.,Most non-PHQ/GAD scales are 1-5 averages; higher values reflect more of the named construct.
Correlation,Intent_Leave_Total is associated with Work_Withdrawal_Total.,Pearson r=0.771; p=0.0000; Spearman rho=0.751; effect=Large.,"Correlation does not prove causation, but it identifies paired outcomes that move together in this dataset."
Correlation,PHQ9_Total is associated with GAD7_Total.,Pearson r=0.759; p=0.0000; Spearman rho=0.763; effect=Large.,"Correlation does not prove causation, but it identifies paired outcomes that move together in this dataset."
Correlation,SV_Emotional_Total is associated with Performance_Impact_Total.,Pearson r=0.727; p=0.0000; Spearman rho=0.752; effect=Large.,"Correlation does not prove causation, but it identifies paired outcomes that move together in this dataset."
Correlation,Performance_Impact_Total is associated with Work_Withdrawal_Total.,Pearson r=0.703; p=0.0000; Spearman rho=0.707; effect=Large.,"Correlation does not prove causation, but it identifies paired outcomes that move together in this dataset."
Correlation,Performance_Impact_Total is associated with Intent_Leave_Total.,Pearson r=0.638; p=0.0000; Spearman rho=0.658; effect=Large.,"Correlation does not prove causation, but it identifies paired outcomes that move together in this dataset."
Correlation,SV_Emotional_Total is associated with Resource_Need_Total.,Pearson r=0.638; p=0.0000; Spearman rho=0.618; effect=Large.,"Correlation does not prove causation, but it identifies paired outcomes that move together in this dataset."
Correlation,GAD7_Total is associated with SV_Emotional_Total.,Pearson r=0.609; p=0.0000; Spearman rho=0.610; effect=Large.,"Correlation does not prove causation, but it identifies paired outcomes that move together in this dataset."
Correlation,SV_Emotional_Total is associated with Intent_Leave_Total.,Pearson r=0.592; p=0.0000; Spearman rho=0.583; effect=Large.,"Correlation does not prove causation, but it identifies paired outcomes that move together in this dataset."
