Group variable,Level,Outcome,N,Mean,SD,Median,IQR,Min,Max
Gender,Female,PHQ9_Total,51,4.5956,4.1792,4.0,6.0,0.0,17.0
Gender,Female,GAD7_Total,51,4.2353,3.7978,4.0,4.5,0.0,17.0
Gender,Female,SV_Emotional_Total,51,2.7742,0.8326,3.0,1.3889,1.0,4.1111
Gender,Female,Peer_Support_Total,51,3.8676,0.5205,4.0,0.75,2.5,5.0
Gender,Female,Supervisor_Support_Total,51,3.9232,0.5423,4.0,0.625,2.5,5.0
Gender,Female,Org_Support_Total,51,3.3333,0.8615,3.3333,1.3333,2.0,5.0
Gender,Female,Performance_Impact_Total,51,2.3971,0.8458,2.5,0.75,1.0,5.0
Gender,Female,Intent_Leave_Total,51,1.7941,0.7562,1.75,1.125,1.0,3.75
Gender,Female,Work_Withdrawal_Total,51,2.2941,0.8528,2.0,1.1667,1.0,4.3333
Gender,Female,Professional_Growth_Total,51,4.1422,0.5943,4.0,0.5,2.0,5.0
Gender,Female,Resource_Need_Total,51,3.458,0.6637,3.4286,1.0714,2.2857,4.8571
Gender,Female,Burnout_Total,51,2.8494,0.4312,2.8125,0.5667,2.0,4.0
Gender,Male,PHQ9_Total,48,4.1667,4.3532,3.0,5.25,0.0,16.0
Gender,Male,GAD7_Total,48,4.1875,4.6433,2.0,6.5,0.0,15.0
Gender,Male,SV_Emotional_Total,48,2.7205,0.8377,2.7222,0.8889,1.0,4.3333
Gender,Male,Peer_Support_Total,48,3.901,0.4775,4.0,0.75,2.5,4.75
Gender,Male,Supervisor_Support_Total,48,3.8698,0.7491,4.0,0.75,2.0,5.0
Gender,Male,Org_Support_Total,48,2.9444,0.8761,2.6667,1.3333,1.0,5.0
Gender,Male,Performance_Impact_Total,48,2.3281,0.8091,2.375,0.8125,1.0,4.25
Gender,Male,Intent_Leave_Total,48,1.849,0.9047,1.75,1.0,1.0,4.75
Gender,Male,Work_Withdrawal_Total,48,2.1389,0.8611,2.0,0.75,1.0,5.0
Gender,Male,Professional_Growth_Total,48,3.9635,0.7201,4.0,0.25,1.0,4.75
Gender,Male,Resource_Need_Total,48,3.2589,0.7756,3.2143,0.8929,1.0,5.0
Gender,Male,Burnout_Total,48,2.8536,0.5872,2.875,0.75,1.625,4.3125
Designation,Assistant Professor,PHQ9_Total,8,2.125,1.8851,2.0,2.5,0.0,5.0
Designation,Assistant Professor,GAD7_Total,8,1.5,1.1952,1.0,1.0,0.0,4.0
Designation,Assistant Professor,SV_Emotional_Total,8,2.0694,0.6395,2.3889,0.9722,1.2222,2.8889
Designation,Assistant Professor,Peer_Support_Total,8,4.3438,0.4213,4.5,0.375,3.5,4.75
Designation,Assistant Professor,Supervisor_Support_Total,8,4.2812,0.4317,4.375,0.5625,3.5,4.75
Designation,Assistant Professor,Org_Support_Total,8,3.0833,0.6843,3.0,0.9167,2.3333,4.0
Designation,Assistant Professor,Performance_Impact_Total,8,1.5312,0.6187,1.25,0.5625,1.0,2.5
Designation,Assistant Professor,Intent_Leave_Total,8,1.1562,0.352,1.0,0.0625,1.0,2.0
Designation,Assistant Professor,Work_Withdrawal_Total,8,1.5833,0.5842,1.3333,0.75,1.0,2.6667
