Segment variable,Segment,Outcome,N,Segment mean,Overall mean,Difference vs overall,Segment median,Reporting note
Specialization,Ophthalmology,PHQ9_Total,5,7.4,4.3876,3.0124,6.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Post Graduate,GAD7_Total,22,6.4545,4.2121,2.2424,5.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Ophthalmology,GAD7_Total,5,5.6,4.2121,1.3879,4.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Nursing Officer,PHQ9_Total,9,5.3333,4.3876,0.9457,5.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Pediatrics,GAD7_Total,8,5.125,4.2121,0.9129,4.5,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Obstetrics and Gynaecology,PHQ9_Total,11,5.2727,4.3876,0.8851,4.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Nurse,PHQ9_Total,11,5.1818,4.3876,0.7942,5.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Pediatrics,PHQ9_Total,8,5.1719,4.3876,0.7842,4.1875,Descriptive; groups with small N should be interpreted cautiously.
Designation,Nurse,Performance_Impact_Total,11,3.0455,2.3636,0.6818,2.75,Descriptive; groups with small N should be interpreted cautiously.
Specialization,General Medicine,GAD7_Total,20,4.85,4.2121,0.6379,4.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Assistant professor,Intent_Leave_Total,4,2.375,1.8207,0.5543,2.125,Descriptive; groups with small N should be interpreted cautiously.
Designation,Junior Resident,PHQ9_Total,15,4.8667,4.3876,0.479,4.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Ophthalmology,Work_Withdrawal_Total,5,2.6667,2.2189,0.4478,2.6667,Descriptive; groups with small N should be interpreted cautiously.
Designation,Post Graduate,PHQ9_Total,22,4.8182,4.3876,0.4306,3.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Senior Resident,GAD7_Total,24,4.625,4.2121,0.4129,3.5,Descriptive; groups with small N should be interpreted cautiously.
Designation,Nurse,Work_Withdrawal_Total,11,2.6061,2.2189,0.3872,2.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,General Medicine,Performance_Impact_Total,20,2.7125,2.3636,0.3489,2.5,Descriptive; groups with small N should be interpreted cautiously.
Designation,Nurse,Intent_Leave_Total,11,2.1364,1.8207,0.3157,2.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Not specified,Performance_Impact_Total,10,2.675,2.3636,0.3114,2.5,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Pediatrics,Intent_Leave_Total,8,2.125,1.8207,0.3043,2.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Senior Resident,Intent_Leave_Total,24,2.1042,1.8207,0.2835,2.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Not specified,Intent_Leave_Total,10,2.1,1.8207,0.2793,2.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Senior Resident,Work_Withdrawal_Total,24,2.4861,2.2189,0.2673,2.1667,Descriptive; groups with small N should be interpreted cautiously.
Specialization,General Medicine,PHQ9_Total,20,4.65,4.3876,0.2624,3.5,Descriptive; groups with small N should be interpreted cautiously.
Specialization,General Surgery,Burnout_Total,12,3.1094,2.8515,0.2579,3.0625,Descriptive; groups with small N should be interpreted cautiously.
Designation,Nurse,GAD7_Total,11,4.4545,4.2121,0.2424,4.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Orthopaedics,Work_Withdrawal_Total,9,2.4444,2.2189,0.2256,2.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Not specified,Work_Withdrawal_Total,10,2.4333,2.2189,0.2145,2.0,Descriptive; groups with small N should be interpreted cautiously.
Gender,Female,PHQ9_Total,51,4.5956,4.3876,0.208,4.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Ophthalmology,Burnout_Total,5,3.05,2.8515,0.1985,3.25,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Pulmonology,Burnout_Total,6,3.0222,2.8515,0.1708,3.0667,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Pediatrics,Work_Withdrawal_Total,8,2.375,2.2189,0.1561,2.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Junior Resident,Performance_Impact_Total,15,2.5167,2.3636,0.153,2.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Junior Resident,Burnout_Total,15,3.0,2.8515,0.1485,3.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Orthopaedics,Intent_Leave_Total,9,1.9444,1.8207,0.1237,2.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Obstetrics and Gynaecology,Performance_Impact_Total,11,2.4773,2.3636,0.1136,2.5,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Not specified,Burnout_Total,10,2.9562,2.8515,0.1048,3.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Senior Resident,Burnout_Total,24,2.955,2.8515,0.1035,3.0312,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Obstetrics and Gynaecology,Work_Withdrawal_Total,11,2.303,2.2189,0.0842,2.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Ophthalmology,Intent_Leave_Total,5,1.9,1.8207,0.0793,2.0,Descriptive; groups with small N should be interpreted cautiously.
Gender,Female,Work_Withdrawal_Total,51,2.2941,2.2189,0.0753,2.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Post Graduate,Burnout_Total,22,2.9261,2.8515,0.0747,2.875,Descriptive; groups with small N should be interpreted cautiously.
Specialization,General Medicine,Work_Withdrawal_Total,20,2.2833,2.2189,0.0645,2.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Pulmonology,Performance_Impact_Total,6,2.4167,2.3636,0.053,2.5,Descriptive; groups with small N should be interpreted cautiously.
Designation,Senior Resident,Performance_Impact_Total,24,2.4167,2.3636,0.053,2.5,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Pediatrics,Performance_Impact_Total,8,2.4062,2.3636,0.0426,2.625,Descriptive; groups with small N should be interpreted cautiously.
Gender,Female,Performance_Impact_Total,51,2.3971,2.3636,0.0334,2.5,Descriptive; groups with small N should be interpreted cautiously.
Gender,Male,Intent_Leave_Total,48,1.849,1.8207,0.0283,1.75,Descriptive; groups with small N should be interpreted cautiously.
Gender,Female,GAD7_Total,51,4.2353,4.2121,0.0232,4.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Nursing Officer,Burnout_Total,9,2.8681,2.8515,0.0166,3.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Obstetrics and Gynaecology,Burnout_Total,11,2.8636,2.8515,0.0122,2.8125,Descriptive; groups with small N should be interpreted cautiously.
Specialization,General Medicine,Burnout_Total,20,2.8562,2.8515,0.0048,2.75,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Pulmonology,Work_Withdrawal_Total,6,2.2222,2.2189,0.0034,2.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Senior Resident,PHQ9_Total,24,4.3906,4.3876,0.003,3.0,Descriptive; groups with small N should be interpreted cautiously.
Gender,Male,Burnout_Total,48,2.8536,2.8515,0.0022,2.875,Descriptive; groups with small N should be interpreted cautiously.
Gender,Female,Burnout_Total,51,2.8494,2.8515,-0.002,2.8125,Descriptive; groups with small N should be interpreted cautiously.
Gender,Male,GAD7_Total,48,4.1875,4.2121,-0.0246,2.0,Descriptive; groups with small N should be interpreted cautiously.
Gender,Female,Intent_Leave_Total,51,1.7941,1.8207,-0.0266,1.75,Descriptive; groups with small N should be interpreted cautiously.
Specialization,General Medicine,Intent_Leave_Total,20,1.7875,1.8207,-0.0332,2.0,Descriptive; groups with small N should be interpreted cautiously.
Gender,Male,Performance_Impact_Total,48,2.3281,2.3636,-0.0355,2.375,Descriptive; groups with small N should be interpreted cautiously.
Designation,Post Graduate,Intent_Leave_Total,22,1.7841,1.8207,-0.0366,1.75,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Ophthalmology,Performance_Impact_Total,5,2.3,2.3636,-0.0636,2.5,Descriptive; groups with small N should be interpreted cautiously.
Designation,Nurse,Burnout_Total,11,2.7727,2.8515,-0.0787,2.625,Descriptive; groups with small N should be interpreted cautiously.
Designation,Junior Resident,GAD7_Total,15,4.1333,4.2121,-0.0788,3.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Post Graduate,Performance_Impact_Total,22,2.2841,2.3636,-0.0795,2.375,Descriptive; groups with small N should be interpreted cautiously.
Gender,Male,Work_Withdrawal_Total,48,2.1389,2.2189,-0.08,2.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Junior Resident,Work_Withdrawal_Total,15,2.1333,2.2189,-0.0855,2.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Post Graduate,Work_Withdrawal_Total,22,2.1212,2.2189,-0.0976,2.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Pulmonology,Intent_Leave_Total,6,1.7083,1.8207,-0.1124,1.875,Descriptive; groups with small N should be interpreted cautiously.
Specialization,General Surgery,Intent_Leave_Total,12,1.7083,1.8207,-0.1124,1.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Pediatrics,Burnout_Total,8,2.7188,2.8515,-0.1327,2.5,Descriptive; groups with small N should be interpreted cautiously.
Designation,Assistant professor,Work_Withdrawal_Total,4,2.0833,2.2189,-0.1355,2.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Junior Resident,Intent_Leave_Total,15,1.6667,1.8207,-0.154,1.75,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Not specified,PHQ9_Total,10,4.2,4.3876,-0.1876,4.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Orthopaedics,Burnout_Total,9,2.6429,2.8515,-0.2086,2.8125,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Nephrology,Burnout_Total,4,2.6406,2.8515,-0.2108,2.6562,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Obstetrics and Gynaecology,GAD7_Total,11,4.0,4.2121,-0.2121,4.0,Descriptive; groups with small N should be interpreted cautiously.
Gender,Male,PHQ9_Total,48,4.1667,4.3876,-0.221,3.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Assistant professor,Performance_Impact_Total,4,2.125,2.3636,-0.2386,2.125,Descriptive; groups with small N should be interpreted cautiously.
Designation,Nursing Officer,Performance_Impact_Total,9,2.1111,2.3636,-0.2525,2.25,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Obstetrics and Gynaecology,Intent_Leave_Total,11,1.5455,1.8207,-0.2753,1.5,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Orthopaedics,Performance_Impact_Total,9,2.0556,2.3636,-0.3081,2.5,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Nephrology,Intent_Leave_Total,4,1.5,1.8207,-0.3207,1.5,Descriptive; groups with small N should be interpreted cautiously.
Specialization,General Surgery,Performance_Impact_Total,12,2.0208,2.3636,-0.3428,1.75,Descriptive; groups with small N should be interpreted cautiously.
Designation,Nursing Officer,Work_Withdrawal_Total,9,1.8519,2.2189,-0.367,2.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Assistant Professor,Burnout_Total,8,2.4844,2.8515,-0.3671,2.375,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Nephrology,Work_Withdrawal_Total,4,1.8333,2.2189,-0.3855,2.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Orthopaedics,PHQ9_Total,9,4.0,4.3876,-0.3876,3.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Nephrology,Performance_Impact_Total,4,1.9375,2.3636,-0.4261,2.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Assistant professor,Burnout_Total,4,2.4219,2.8515,-0.4296,2.4062,Descriptive; groups with small N should be interpreted cautiously.
Specialization,General Surgery,Work_Withdrawal_Total,12,1.7222,2.2189,-0.4966,1.6667,Descriptive; groups with small N should be interpreted cautiously.
Designation,Nursing Officer,Intent_Leave_Total,9,1.2778,1.8207,-0.5429,1.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,General Surgery,GAD7_Total,12,3.6667,4.2121,-0.5455,3.5,Descriptive; groups with small N should be interpreted cautiously.
Specialization,General Surgery,PHQ9_Total,12,3.8333,4.3876,-0.5543,3.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Not specified,GAD7_Total,10,3.6,4.2121,-0.6121,2.5,Descriptive; groups with small N should be interpreted cautiously.
Designation,Assistant Professor,Work_Withdrawal_Total,8,1.5833,2.2189,-0.6355,1.3333,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Orthopaedics,GAD7_Total,9,3.5556,4.2121,-0.6566,2.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Assistant Professor,Intent_Leave_Total,8,1.1562,1.8207,-0.6645,1.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Neurosurgery,Burnout_Total,4,2.0312,2.8515,-0.8202,1.9375,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Neurosurgery,Intent_Leave_Total,4,1.0,1.8207,-0.8207,1.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Assistant Professor,Performance_Impact_Total,8,1.5312,2.3636,-0.8324,1.25,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Neurosurgery,Work_Withdrawal_Total,4,1.25,2.2189,-0.9689,1.1667,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Neurosurgery,Performance_Impact_Total,4,1.375,2.3636,-0.9886,1.375,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Pulmonology,GAD7_Total,6,3.0,4.2121,-1.2121,2.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Nursing Officer,GAD7_Total,9,2.4444,4.2121,-1.7677,2.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Assistant Professor,PHQ9_Total,8,2.125,4.3876,-2.2626,2.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Assistant professor,PHQ9_Total,4,1.75,4.3876,-2.6376,1.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Assistant Professor,GAD7_Total,8,1.5,4.2121,-2.7121,1.0,Descriptive; groups with small N should be interpreted cautiously.
Designation,Assistant professor,GAD7_Total,4,1.5,4.2121,-2.7121,1.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Neurosurgery,GAD7_Total,4,1.5,4.2121,-2.7121,1.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Pulmonology,PHQ9_Total,6,1.5,4.3876,-2.8876,1.5,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Neurosurgery,PHQ9_Total,4,1.5,4.3876,-2.8876,1.5,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Nephrology,GAD7_Total,4,1.0,4.2121,-3.2121,1.0,Descriptive; groups with small N should be interpreted cautiously.
Specialization,Nephrology,PHQ9_Total,4,0.75,4.3876,-3.6376,1.0,Descriptive; groups with small N should be interpreted cautiously.
