Model,Outcome,Term,B,Std error,t,p-value,95% CI low,95% CI high,HC3 robust std error,HC3 robust t,HC3 robust p-value,HC3 robust 95% CI low,HC3 robust 95% CI high,Standardized beta,OLS significance,HC3 robust significance
Predict GAD-7 anxiety,GAD7_Total,SV_Emotional_Total,2.6997,0.4978,5.4232,0.0,1.7108,3.6885,0.6994,3.86,0.0002,1.3104,4.0889,0.5334,***,***
Predict GAD-7 anxiety,GAD7_Total,Burnout_Total,1.7568,0.8427,2.0847,0.0399,0.0828,3.4307,0.8243,2.1313,0.0358,0.1194,3.3941,0.213,*,*
Predict GAD-7 anxiety,GAD7_Total,const,-7.0309,5.5402,-1.2691,0.2077,-18.0359,3.9741,7.7034,-0.9127,0.3638,-22.3328,8.271,,,
Predict GAD-7 anxiety,GAD7_Total,Age,-0.0974,0.0859,-1.134,0.2598,-0.2679,0.0732,0.0673,-1.4474,0.1512,-0.231,0.0362,-0.0972,,
Predict GAD-7 anxiety,GAD7_Total,Org_Support_Total,-0.4071,0.4083,-0.9968,0.3215,-1.2182,0.4041,0.5897,-0.6903,0.4918,-1.5784,0.7643,-0.0857,,
Predict GAD-7 anxiety,GAD7_Total,Peer_Support_Total,0.6621,0.7791,0.8498,0.3977,-0.8855,2.2096,1.5291,0.433,0.666,-2.3752,3.6994,0.0783,,
Predict GAD-7 anxiety,GAD7_Total,Supervisor_Support_Total,0.1209,0.5862,0.2063,0.837,-1.0434,1.2853,0.8391,0.1441,0.8857,-1.5459,1.7878,0.0186,,
Predict GAD-7 anxiety,GAD7_Total,Gender_Male,-0.0747,0.675,-0.1106,0.9122,-1.4155,1.2661,0.7032,-0.1062,0.9157,-1.4716,1.3222,-0.0089,,
Predict PHQ-9 depression,PHQ9_Total,SV_Emotional_Total,2.2861,0.5595,4.0859,0.0001,1.1747,3.3975,0.9155,2.4973,0.0143,0.4677,4.1046,0.4474,***,*
Predict PHQ-9 depression,PHQ9_Total,Burnout_Total,1.399,0.9472,1.4771,0.1431,-0.4824,3.2804,0.7507,1.8637,0.0656,-0.0921,2.8902,0.168,,
Predict PHQ-9 depression,PHQ9_Total,const,-7.6824,6.2271,-1.2337,0.2205,-20.0517,4.6869,9.5445,-0.8049,0.423,-26.6413,11.2765,,,
Predict PHQ-9 depression,PHQ9_Total,Org_Support_Total,0.4886,0.459,1.0645,0.2899,-0.4231,1.4002,0.7486,0.6526,0.5156,-0.9984,1.9755,0.1019,,
Predict PHQ-9 depression,PHQ9_Total,Age,-0.0699,0.0965,-0.7242,0.4708,-0.2615,0.1218,0.0681,-1.0256,0.3078,-0.2052,0.0655,-0.0691,,
Predict PHQ-9 depression,PHQ9_Total,Peer_Support_Total,0.6251,0.8757,0.7139,0.4771,-1.1143,2.3645,2.1142,0.2957,0.7682,-3.5745,4.8248,0.0733,,
Predict PHQ-9 depression,PHQ9_Total,Gender_Male,-0.1362,0.7587,-0.1796,0.8579,-1.6432,1.3708,0.8031,-0.1696,0.8657,-1.7315,1.459,-0.0161,,
Predict PHQ-9 depression,PHQ9_Total,Supervisor_Support_Total,-0.0026,0.6588,-0.0039,0.9969,-1.3113,1.3061,0.9973,-0.0026,0.9979,-1.9837,1.9785,-0.0004,,
Predict burnout,Burnout_Total,const,3.3343,0.3937,8.4691,0.0,2.5523,4.1164,0.4312,7.7334,0.0,2.4779,4.1908,,***,***
Predict burnout,Burnout_Total,SV_Emotional_Total,0.2526,0.0676,3.7372,0.0003,0.1183,0.3868,0.0705,3.584,0.0005,0.1126,0.3926,0.4116,***,***
