Insight,Model,Outcome,Predictor,Direction,Statistically significant,B coefficient,HC3 robust p-value,HC3 robust 95% CI low,HC3 robust 95% CI high,Standardized beta,Adjusted R-squared,N,Reporting note
Higher second victim emotional impact predicts higher performance impact.,Predict performance impact,performance impact,second victim emotional impact,outcome increases as predictor increases,Yes,0.4998,0.0,0.2985,0.701,0.5037,0.6088,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher age predicts lower burnout.,Predict burnout,burnout,age,outcome decreases as predictor increases,Yes,-0.0351,0.0001,-0.0519,-0.0183,-0.2891,0.3656,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher second victim emotional impact predicts higher GAD-7 anxiety score.,Predict GAD-7 anxiety,GAD-7 anxiety score,second victim emotional impact,outcome increases as predictor increases,Yes,2.6997,0.0002,1.3104,4.0889,0.5334,0.3951,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher second victim emotional impact predicts higher burnout.,Predict burnout,burnout,second victim emotional impact,outcome increases as predictor increases,Yes,0.2526,0.0005,0.1126,0.3926,0.4116,0.3656,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher performance impact predicts higher intention to leave.,Predict intention to leave,intention to leave,performance impact,outcome increases as predictor increases,Yes,0.5025,0.0008,0.2145,0.7904,0.5007,0.5014,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher organisational support predicts higher performance impact.,Predict performance impact,performance impact,organisational support,outcome increases as predictor increases,Yes,0.2003,0.0025,0.0722,0.3285,0.2152,0.6088,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher second victim emotional impact predicts higher PHQ-9 depression score.,Predict PHQ-9 depression,PHQ-9 depression score,second victim emotional impact,outcome increases as predictor increases,Yes,2.2861,0.0143,0.4677,4.1046,0.4474,0.2505,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher organisational support predicts lower intention to leave.,Predict intention to leave,intention to leave,organisational support,outcome decreases as predictor increases,Yes,-0.2084,0.0214,-0.3851,-0.0316,-0.2231,0.5014,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher burnout predicts higher performance impact.,Predict performance impact,performance impact,burnout,outcome increases as predictor increases,Yes,0.3168,0.0356,0.0218,0.6118,0.1959,0.6088,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher burnout predicts higher GAD-7 anxiety score.,Predict GAD-7 anxiety,GAD-7 anxiety score,burnout,outcome increases as predictor increases,Yes,1.7568,0.0358,0.1194,3.3941,0.213,0.3951,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher burnout predicts higher intention to leave.,Predict intention to leave,intention to leave,burnout,outcome increases as predictor increases,Yes,0.2644,0.0439,0.0074,0.5214,0.1629,0.5014,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher supervisor support predicts lower performance impact.,Predict performance impact,performance impact,supervisor support,outcome decreases as predictor increases,Yes,-0.2114,0.0463,-0.4192,-0.0036,-0.1661,0.6088,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher age predicts higher intention to leave.,Predict intention to leave,intention to leave,age,outcome increases as predictor increases,No,0.0323,0.0526,-0.0004,0.065,0.164,0.5014,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher burnout predicts higher PHQ-9 depression score.,Predict PHQ-9 depression,PHQ-9 depression score,burnout,outcome increases as predictor increases,No,1.399,0.0656,-0.0921,2.8902,0.168,0.2505,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher age predicts lower GAD-7 anxiety score.,Predict GAD-7 anxiety,GAD-7 anxiety score,age,outcome decreases as predictor increases,No,-0.0974,0.1512,-0.231,0.0362,-0.0972,0.3951,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher second victim emotional impact predicts higher intention to leave.,Predict intention to leave,intention to leave,second victim emotional impact,outcome increases as predictor increases,No,0.1682,0.2172,-0.1007,0.437,0.1689,0.5014,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher GAD-7 anxiety score predicts higher burnout.,Predict burnout,burnout,GAD-7 anxiety score,outcome increases as predictor increases,No,0.0219,0.2218,-0.0135,0.0574,0.1809,0.3656,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher age predicts lower PHQ-9 depression score.,Predict PHQ-9 depression,PHQ-9 depression score,age,outcome decreases as predictor increases,No,-0.0699,0.3078,-0.2052,0.0655,-0.0691,0.2505,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher PHQ-9 depression score predicts lower intention to leave.,Predict intention to leave,intention to leave,PHQ-9 depression score,outcome decreases as predictor increases,No,-0.0269,0.3195,-0.0802,0.0265,-0.138,0.5014,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher GAD-7 anxiety score predicts higher performance impact.,Predict performance impact,performance impact,GAD-7 anxiety score,outcome increases as predictor increases,No,0.02,0.4816,-0.0362,0.0761,0.1018,0.6088,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher organisational support predicts lower GAD-7 anxiety score.,Predict GAD-7 anxiety,GAD-7 anxiety score,organisational support,outcome decreases as predictor increases,No,-0.4071,0.4918,-1.5784,0.7643,-0.0857,0.3951,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher organisational support predicts higher PHQ-9 depression score.,Predict PHQ-9 depression,PHQ-9 depression score,organisational support,outcome increases as predictor increases,No,0.4886,0.5156,-0.9984,1.9755,0.1019,0.2505,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher GAD-7 anxiety score predicts higher intention to leave.,Predict intention to leave,intention to leave,GAD-7 anxiety score,outcome increases as predictor increases,No,0.0185,0.522,-0.0387,0.0757,0.0941,0.5014,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher PHQ-9 depression score predicts higher performance impact.,Predict performance impact,performance impact,PHQ-9 depression score,outcome increases as predictor increases,No,0.0128,0.5508,-0.0298,0.0554,0.0661,0.6088,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher organisational support predicts lower burnout.,Predict burnout,burnout,organisational support,outcome decreases as predictor increases,No,-0.0281,0.6104,-0.1372,0.081,-0.0488,0.3656,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher peer support predicts higher GAD-7 anxiety score.,Predict GAD-7 anxiety,GAD-7 anxiety score,peer support,outcome increases as predictor increases,No,0.6621,0.666,-2.3752,3.6994,0.0783,0.3951,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher professional growth predicts lower burnout.,Predict burnout,burnout,professional growth,outcome decreases as predictor increases,No,-0.0355,0.7068,-0.222,0.1511,-0.0459,0.3656,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher peer support predicts higher PHQ-9 depression score.,Predict PHQ-9 depression,PHQ-9 depression score,peer support,outcome increases as predictor increases,No,0.6251,0.7682,-3.5745,4.8248,0.0733,0.2505,99,Adjusted linear regression; use HC3 robust p-values for inference.
"Compared with its reference group, gender: Male is linked with higher performance impact.",Predict performance impact,performance impact,gender: Male,outcome increases as predictor increases,No,0.0296,0.7899,-0.1904,0.2496,0.018,0.6088,99,Adjusted linear regression; use HC3 robust p-values for inference.
"Compared with its reference group, gender: Male is linked with lower PHQ-9 depression score.",Predict PHQ-9 depression,PHQ-9 depression score,gender: Male,outcome decreases as predictor increases,No,-0.1362,0.8657,-1.7315,1.459,-0.0161,0.2505,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher PHQ-9 depression score predicts higher burnout.,Predict burnout,burnout,PHQ-9 depression score,outcome increases as predictor increases,No,0.0023,0.8701,-0.026,0.0307,0.0195,0.3656,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher supervisor support predicts higher GAD-7 anxiety score.,Predict GAD-7 anxiety,GAD-7 anxiety score,supervisor support,outcome increases as predictor increases,No,0.1209,0.8857,-1.5459,1.7878,0.0186,0.3951,99,Adjusted linear regression; use HC3 robust p-values for inference.
"Compared with its reference group, gender: Male is linked with lower GAD-7 anxiety score.",Predict GAD-7 anxiety,GAD-7 anxiety score,gender: Male,outcome decreases as predictor increases,No,-0.0747,0.9157,-1.4716,1.3222,-0.0089,0.3951,99,Adjusted linear regression; use HC3 robust p-values for inference.
"Compared with its reference group, gender: Male is linked with higher burnout.",Predict burnout,burnout,gender: Male,outcome increases as predictor increases,No,0.0059,0.9425,-0.1564,0.1682,0.0058,0.3656,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher age predicts higher performance impact.,Predict performance impact,performance impact,age,outcome increases as predictor increases,No,0.0009,0.9495,-0.028,0.0298,0.0047,0.6088,99,Adjusted linear regression; use HC3 robust p-values for inference.
"Compared with its reference group, gender: Male is linked with higher intention to leave.",Predict intention to leave,intention to leave,gender: Male,outcome increases as predictor increases,No,0.0026,0.984,-0.2575,0.2628,0.0016,0.5014,99,Adjusted linear regression; use HC3 robust p-values for inference.
Higher supervisor support predicts lower PHQ-9 depression score.,Predict PHQ-9 depression,PHQ-9 depression score,supervisor support,outcome decreases as predictor increases,No,-0.0026,0.9979,-1.9837,1.9785,-0.0004,0.2505,99,Adjusted linear regression; use HC3 robust p-values for inference.
